feature_set,training_rmse,test_rmse
artist,0.07828338563235354,0.06875863495028352
reviewauthor,0.07658546689534064,0.07210344430040444
releaseyear,0.07837254247622052,0.06789687019052901
recordlabel,0.07856455741970786,0.07690444343970758
genre,0.07820724064436535,0.06880050778396245
danceability,0.0782900044193724,0.06846971572507868
energy,0.0784890264001479,0.06798942515816554
key,0.07855967724420565,0.0680858792993559
loudness,0.07825555397782062,0.06797938554921017
speechiness,0.07856396347731927,0.06827884854483043
acousticness,0.0784051231558773,0.06818357757415389
instrumentalness,0.07822622263060251,0.06823003675800655
liveness,0.07856452875683781,0.06817411653872907
valence,0.07841825096791764,0.06876500681459324
tempo,0.0785603663535372,0.06822813537832191
danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.07794283587864916,0.06846353138372128
artist_reviewauthor_releaseyear_recordlabel_genre,0.07587052189193312,0.08831494294739492
artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.07563189812742842,0.08941552600386155
